station_name,location
New York Ave & St Marks Ave,"(40.72612856666667, -74.03436933333333)"
Buffalo Ave & E New York Ave,"(40.72612856666667, -74.03436933333333)"
Prospect Pl & Nostrand Ave,"(40.72612856666667, -74.03436933333333)"
Clinton Ave & Myrtle Ave,"(40.72612856666667, -74.03436933333333)"
E 16 St & Irving Pl,"(40.72612856666667, -74.03436933333333)"
E 33 St & 1 Ave,"(40.72612856666667, -74.03436933333333)"
E 15 St & 3 Ave,"(40.72612856666667, -74.03436933333333)"
2 Ave & E 29 St,"(40.72612856666667, -74.03436933333333)"
4 Ave & E 12 St,"(40.72612856666667, -74.03436933333333)"
Greenwich Ave & Charles St,"(40.72612856666667, -74.03436933333333)"
Washington St & Gansevoort St,"(40.72612856666667, -74.03436933333333)"
Ave A & E 11 St,"(40.72612856666667, -74.03436933333333)"
Suffolk St & Stanton St,"(40.72612856666667, -74.03436933333333)"
Broadway & Berry St,"(40.72612856666667, -74.03436933333333)"
W 20 St & 5 Ave,"(40.72612856666667, -74.03436933333333)"
E 27 St & Park Ave S,"(40.72612856666667, -74.03436933333333)"
Perry St & Bleecker St,"(40.72612856666667, -74.03436933333333)"
Grand Army Plaza & Plaza St West,"(40.72612856666667, -74.03436933333333)"
7 St & 5 Ave,"(40.72612856666667, -74.03436933333333)"
E 18 St & Church Ave,"(40.72612856666667, -74.03436933333333)"
3 Ave & Carroll St,"(40.72612856666667, -74.03436933333333)"
Reade St & Broadway,"(40.72612856666667, -74.03436933333333)"
W 37 St & 5 Ave,"(40.77986811666667, -74.00098978333334)"
Lispenard St & Broadway,"(40.77986811666667, -74.00098978333334)"
Columbus Ave & W 103 St,"(40.707376266666664, -74.05935028333333)"
E 53 St & Madison Ave,"(40.707376266666664, -74.05935028333333)"
W 30 St & 8 Ave,"(40.735283966666664, -74.02741491666667)"
Beverley Rd & Nostrand Ave,"(40.735283966666664, -74.02741491666667)"
E 40 St & Park Ave,"(40.7154368, -74.04967986666666)"
Southpoint Park,"(40.748325216666665, -74.03221188333333)"
Motorgate,"(40.748325216666665, -74.03221188333333)"
Roosevelt Island Tramway,"(40.748325216666665, -74.03221188333333)"
Liberty St & Broadway,"(40.717756433333335, -74.02370361666667)"
Classon Ave & St Marks Ave,"(40.7610996, -74.01468361666667)"
11 Ave & W 41 St,"(40.74149153333333, -74.0283945)"
E 58 St & 3 Ave,"(40.748638283333335, -74.02274113333333)"
W 47 St & 9 Ave,"(40.75991353333333, -74.0352891)"
W 54 St & 11 Ave,"(40.714001716666665, -74.0932553)"
Central Park West & W 72 St,"(40.714001716666665, -74.0932553)"
W 110 St & Amsterdam Ave,"(40.714001716666665, -74.0932553)"
River Ter & Warren St,"(40.71561705, -74.02751146666667)"
W 76 St & Columbus Ave,"(40.77287685, -74.00625278333334)"
W 56 St & 10 Ave,"(40.719100233333336, -74.03378105)"
W 36 St & 9 Ave,"(40.719100233333336, -74.03378105)"
Devoe St & Morgan Ave,"(40.689048171, -74.085600019)"
Hope St & Union Ave,"(40.689048171, -74.085600019)"
Broadway & E 19 St,"(40.71487893333333, -74.0350602)"
W 44 St & 5 Ave,"(40.73679128333333, -74.02872661666666)"
W 47 St & 6 Ave,"(40.78173616666667, -74.0290998)"
E 33 St & 5 Ave,"(40.75623065, -74.05238538333333)"
W 27 St & 7 Ave,"(40.746647, -73.993915)"
12 Ave & W 40 St,"(40.76087502, -74.00277668)"
Cabrini Blvd & W 177 St,"(40.848282, -73.941343)"
W 42 St & 6 Ave,"(40.75492, -73.98455)"
Broadway & W 220 St,"(40.872412, -73.912807)"
Bayard St & Baxter St,"(40.71602118, -73.99974372)"
Murray St & Greenwich St,"(40.71485150526251, -74.01122331619263)"
Water St & Gouverneur Ln,"(40.70469667894968, -74.00803416967392)"
Liberty St & Nassau St,"(40.70858894240581, -74.00935482235809)"
Great Jones St,"(40.72743423, -73.99379025)"
E 5 St & Cooper Sq,"(40.72769, -73.990993)"
Riverside Dr & W 104 St,"(40.8013434, -73.9711457439)"
Cedar Ave & W Fordham Rd,"(40.86156, -73.91219)"
Old Slip & South St,"(40.70336686695866, -74.007867872715)"
Bank St & Washington St,"(40.7361967, -74.00859207)"
West St & Chambers St,"(40.71754834, -74.01322069)"
Park Pl & Church St,"(40.71334184275907, -74.00935515761375)"
Broadway & W 155 St,"(40.83299, -73.94592)"
Broadway & Battery Pl,"(40.70463334, -74.01361706)"
W 37 St & Broadway,"(40.75227093837409, -73.98770570755005)"
S 4 St & Rodney St,"(40.70934, -73.95608)"
Hudson St & Reade St,"(40.71625008, -74.0091059)"
Broadway\t& W 48 St,"(40.76017739537783, -73.98486793041229)"
5 Ave & E 29 St,"(40.7451677, -73.98683077)"
Little West St & 1 Pl,"(40.70569254, -74.01677685)"
E 5 St & Avenue C,"(40.72299208, -73.97995466)"
W Broadway & W Houston St,"(40.726378, -74.000472)"
W 181 St & Riverside Dr,"(40.85168, -73.94186)"
W 20 St & 7 Ave,"(40.74238787, -73.99726235)"
Lafayette St & Jersey St,"(40.72456089, -73.99565293)"
Fulton St & William St,"(40.70960089363537, -74.00655090808868)"
E 30 St & Park Ave S,"(40.74444921, -73.98303529)"
10 Ave & W 14 St,"(40.741981599940225, -74.00831580162048)"
Myrtle Ave & St Edwards St,"(40.69327018, -73.97703874)"
Washington St & Laight St,"(40.72231, -74.0106)"
Hudson St & N Moore St,"(40.71988799798129, -74.0086269378662)"
Pier 40 - Hudson River Park,"(40.7277140777778, -74.01129573583603)"
Pier 40 Dock Station,"(40.72865963236461, -74.0119797096122)"
Lafayette St & E 8 St,"(40.73020660529954, -73.99102628231049)"
Carmine St & 6 Ave,"(40.73038599, -74.00214988)"
8 Ave & W 38 St,"(40.75461, -73.99177)"
E 9 St & 5 Ave,"(40.73275887045087, -73.99581670761108)"
LaGuardia Pl & W 3 St,"(40.72917025, -73.99810231)"
W 16 St & The High Line,"(40.74334935, -74.00681753)"
W 42 St & 8 Ave,"(40.7575699, -73.99098507)"
E 50 St & Park Ave,"(40.757334, -73.974235)"
South St & Broad St,"(40.70188858913366, -74.01089876890182)"
Soissons Landing,"(40.69231660719192, -74.01486575603485)"
Spruce St & Nassau St,"(40.71146364, -74.00552427)"
Stagg St & Morgan Ave,"(40.710681, -73.93372)"
Central Park West & W 68 St,"(40.7734066, -73.97782542)"
Bank St & Hudson St,"(40.73652889, -74.00618026)"
9 Ave & W 18 St,"(40.74317449, -74.00366443)"
Pearl St & Peck Slip,"(40.708485, -74.002751)"
W 34 St &\tHudson Blvd E,"(40.75516719072139, -74.00059908628464)"
Fulton St & Broadway,"(40.711066, -74.009447)"
W 168th S & Fort Washington Ave,"(40.84210236102173, -73.9422395825386)"
E 47 St & 2 Ave,"(40.75323098, -73.97032517)"
Marcy Ave & Lafayette Ave,"(40.6900815, -73.947915)"
South St & Whitehall St,"(40.70122128, -74.01234218)"
Mott St & Prince St,"(40.72317958, -73.99480012)"
Amsterdam Ave & W 79 St,"(40.7829391, -73.9786517)"
South St & Gouverneur Ln,"(40.70355377, -74.00670227)"
Forest Ave & Summerfield St,"(40.69922, -73.89795)"
MacDougal St & Washington Sq,"(40.73226398, -73.99852205)"
Bus Slip & State St,"(40.701907, -74.013942)"
Barrow St & Hudson St,"(40.73172428, -74.00674436)"
Lexington Ave & E 24 St,"(40.74025878, -73.98409214)"
W 106 St & Central Park West,"(40.7981856, -73.9605909006)"
W 56 St & 8 Ave,"(40.765959181657976, -73.98313522338867)"
E 59 St & Madison Ave,"(40.76350532, -73.97109243)"
Fort Washington Ave & W 173 St,"(40.84522, -73.940493)"
E 31 St & 3 Ave,"(40.743943, -73.979661)"
Broadway & W 61 St,"(40.77003010255044, -73.9819684624672)"
W 48 St &  Rockefeller Plaza,"(40.75776935448309, -73.97929430007935)"
